job_name,company,company_info,company_size,company_type,city,salary_min,salary_max,exp,education,job_advantage1,job_advantage2,job_advantage3,job_advantage4,job_advantage5,job_advantage6,job_advantage7,job_advantage8,job_advantage9,job_advantage10
数据分析师助理,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.8,1.5万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
高薪诚聘 数据分析师/助理 技术岗无销售,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
高薪诚聘 数据分析师/助理 技术岗无销售,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
8K 数据分析师/助理 技术岗无销售,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京-朝阳区,0.6,1.5万/月,无工作经验,大专,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
数据分析师(dc),龙信数据（北京）有限公司,民营公司 ,50-150人 ,"计算机服务(系统、数据服务、维修),专业服务(咨询、人力资源、财会)",北京,1,2万/月,3-4年经验,本科,['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '绩效奖金', '定期体检'],,,,
数据分析师(yj),龙信数据（北京）有限公司,民营公司 ,50-150人 ,"计算机服务(系统、数据服务、维修),专业服务(咨询、人力资源、财会)",北京,1,1.5万/月,2年经验,本科,['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '定期体检'],,,,,
数据分析师（实习yj）,龙信数据（北京）有限公司,民营公司 ,50-150人 ,"计算机服务(系统、数据服务、维修),专业服务(咨询、人力资源、财会)",北京,3,4.5千/月,无工作经验,,['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '定期体检'],,,,,
数据分析师（yj）,龙信数据（北京）有限公司,民营公司 ,50-150人 ,"计算机服务(系统、数据服务、维修),专业服务(咨询、人力资源、财会)",北京-海淀区,1,2万/月,无工作经验,,['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '定期体检', '年终奖金'],,,,
入职就底薪6千+双休及实习生直聘金融数据分析师及助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,金融/投资/证券,北京-朝阳区,0.8,1万/月,无工作经验,本科,['弹性工作', '五险一金', '补充医疗保险', '专业培训', '出国机会', '年终奖金', '员工旅游', '交通补贴', '定期体检', '绩效奖金']
你必须自己扛起你的梦想/金融数据分析师 均薪9K,北京万向卓迹商贸有限公司,合资 ,150-500人 ,金融/投资/证券,北京-朝阳区,0.8,1万/月,无工作经验,大专,['弹性工作', '出国机会', '专业培训', '补充医疗保险', '通讯补贴', '五险一金', '绩效奖金', '员工旅游', '年终奖金', '补充公积金']
